grant_number,hc_name,hc_type,hq_city,hq_state,hq_zip,operator_type,site_count,active_sites,county_count
H80CS00422,"HEALTH POINT FAMILY CARE, INC.",Federally Qualified Health Center (FQHC),Newport,KY,41071-2203,"Corporate Entity, Federal Tax Exempt",33,33,5
H80CS00488,KATAHDIN VALLEY HEALTH CENTER,Federally Qualified Health Center (FQHC),Patten,ME,04765-3007,"Corporate Entity, Federal Tax Exempt",19,19,3
H80CS02329,EAST BAY COMMUNITY ACTION PROGRAM,Federally Qualified Health Center (FQHC),Newport,RI,02840-2925,"Corporate Entity, Federal Tax Exempt",10,10,3
H80CS00507,"COMMUNITY HEALTH CARE SYSTEMS, INC.",Federally Qualified Health Center (FQHC),Wrightsville,GA,31096-2017,"Corporate Entity, Federal Tax Exempt",25,25,14
H80CS28967,HOPE CHRISTIAN HEALTH CENTER,Federally Qualified Health Center (FQHC),North Las Vegas,NV,89032-3205,"Corporate Entity, Federal Tax Exempt",10,10,1
H80CS00019,NORTH BROWARD HOSPITAL DISTRICT,Federally Qualified Health Center (FQHC),Fort Lauderdale,FL,33309-3092,"Corporate Entity, Federal Tax Exempt",16,16,1
H80CS00550,"CLINICAS DEL CAMINO REAL, INC.",Federally Qualified Health Center (FQHC),Camarillo,CA,93012-8705,"Corporate Entity, Federal Tax Exempt",37,37,1
H80CS00207,ARCARE,Federally Qualified Health Center (FQHC),Augusta,AR,72006-2309,"Corporate Entity, Federal Tax Exempt",120,120,37
H80CS06640,WEST HAWAII COMMUNITY HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",25,25,1
H80CS28987,"COMPLETE CARE COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Los Angeles,CA,90034-3144,"Corporate Entity, Federal Tax Exempt",17,17,5
H80CS04212,HEALTH PARTNERS OF WESTERN OHIO,Federally Qualified Health Center (FQHC),Lima,OH,45801-4332,"Corporate Entity, Federal Tax Exempt",46,46,7
H80CS00231,"MARANA HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),Marana,AZ,85653-7008,"Corporate Entity, Federal Tax Exempt",13,13,1
H80CS00110,NEIGHBORHOOD HEALTH ASSOCIATION OF TOLEDO INC,Federally Qualified Health Center (FQHC),Toledo,OH,43604-1004,Other,17,17,1
H80CS00752,"MARIPOSA COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Nogales,AZ,85621-2385,"Corporate Entity, Federal Tax Exempt",14,14,1
LALCS33897,STAR COMMUNITY HEALTH INC,Federally Qualified Health Center (FQHC) Look-Alike,Phillipsburg,NJ,08865,NA,23,23,5
H80CS00047,"ALAMEDA, COUNTY OF",Federally Qualified Health Center (FQHC),Oakland,CA,94612-3210,U.S. Government Entity,29,29,2
H80CS00038,HARRIS CTYHOSP DIST,Federally Qualified Health Center (FQHC),Bellaire,TX,77401-2324,U.S. Government Entity,13,13,1
H80CS00699,"BEAUFORT-JASPER-HAMPTON COMPREHENSIVE HEALTH SERVICES, INCORPORATED",Federally Qualified Health Center (FQHC),Okatie,SC,29909-3963,"Corporate Entity, Federal Tax Exempt",23,23,3
H80CS00669,"NORTHWEST MICHIGAN HEALTH SERVICES, INC",Federally Qualified Health Center (FQHC),Traverse City,MI,49684,"Corporate Entity, Federal Tax Exempt",15,15,6
H80CS06452,"PANCARE OF FLORIDA, INC.",Federally Qualified Health Center (FQHC),Panama City,FL,32401-3409,"Corporate Entity, Federal Tax Exempt",32,32,9
H80CS00457,DOUGLAS COUNTY PUBLIC HEALTH SERVICES GROUP INC,Federally Qualified Health Center (FQHC),Ava,MO,65608,"Corporate Entity, Federal Tax Exempt",10,10,4
H80CS00725,LAWNDALE CHRISTIAN HEALTH CENTER,Federally Qualified Health Center (FQHC),Chicago,IL,60623-2460,"Corporate Entity, Federal Tax Exempt",48,48,2
H80CS00571,AMOSKEAG HEALTH,Federally Qualified Health Center (FQHC),Manchester,NH,03101-1235,"Corporate Entity, Federal Tax Exempt",19,19,1
H80CS00209,"Nuestra Clinica Del Valle, Inc.",Federally Qualified Health Center (FQHC),San Juan,TX,78589-2276,"Corporate Entity, Federal Tax Exempt",13,13,2
H80CS00445,SEA MAR COMMUNITY HEALTH CENTERS,Federally Qualified Health Center (FQHC),Seattle,WA,98108-4720,"Corporate Entity, Federal Tax Exempt",83,83,11
H80CS00172,CAMCARE HEALTH CORPORATION,Federally Qualified Health Center (FQHC),Camden,NJ,08103-1539,"Corporate Entity, Federal Tax Exempt",9,9,2
H80CS00638,MAINLINE HEALTH SYSTEMS INC,Federally Qualified Health Center (FQHC),Monticello,AR,71655-4612,"Corporate Entity, Federal Tax Exempt",30,30,10
H80CS00155,"GENERATIONS FAMILY HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),Willimantic,CT,06226-2018,"Corporate Entity, Federal Tax Exempt",7,7,2
H80CS21582,ANTHONY L. JORDAN HEALTH CORPORATION,Federally Qualified Health Center (FQHC),Rochester,NY,14605-2199,"Corporate Entity, Federal Tax Exempt",10,10,2
H80CS26567,MERIDIAN HEALTH SERVICES CORP.,Federally Qualified Health Center (FQHC),Muncie,IN,47304-3988,"Corporate Entity, Federal Tax Exempt",50,50,18
H80CS00390,"FAMILY MEDICAL CENTER OF MICHIGAN, INC.",Federally Qualified Health Center (FQHC),Temperance,MI,48182-9300,"Corporate Entity, Federal Tax Exempt",56,56,3
H80CS00756,STERLING AREA HEALTH CENTER,Federally Qualified Health Center (FQHC),Sterling,MI,48659-9548,"Corporate Entity, Federal Tax Exempt",12,12,4
H80CS00663,PRIMARY HEALTH NETWORK,Federally Qualified Health Center (FQHC),Sharon,PA,16146-2102,"Corporate Entity, Federal Tax Exempt",41,41,17
H80CS26589,CENTER FOR FAMILY & CHILD ENRICHMENT INC,Federally Qualified Health Center (FQHC),Miami Gardens,FL,33056-4838,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS06674,LOS ANGELES CHRISTIAN HEALTH CENTERS,Federally Qualified Health Center (FQHC),Los Angeles,CA,90015-4213,"Corporate Entity, Federal Tax Exempt",11,11,1
H80CS00800,"BALTIMORE MEDICAL SYSTEM, INC.",Federally Qualified Health Center (FQHC),Baltimore,MD,21224-2725,"Corporate Entity, Federal Tax Exempt",17,17,3
H80CS08779,COMANCHE COUNTY HOSPITAL AUTHORITY (TRUS,Federally Qualified Health Center (FQHC),Lawton,OK,73505-6332,U.S. Government Entity,24,24,4
H80CS00864,METROPOLITAN COMMUNITY HEALTH SERVICES INC,Federally Qualified Health Center (FQHC),Washington,NC,27889-4952,"Corporate Entity, Federal Tax Exempt",11,11,4
H80CS00838,"UNITED METHODIST WESTERN KANSAS MEXICAN-AMERICAN MINISTRIES, INC",Federally Qualified Health Center (FQHC),Garden City,KS,67846-5128,"Corporate Entity, Federal Tax Exempt",21,21,4
H80CS06461,CHOTA COMMUNITY HEALTH SERVICES,Federally Qualified Health Center (FQHC),Madisonville,TN,37354-1287,"Corporate Entity, Federal Tax Exempt",16,16,1
H80CS28370,TRI-STATE COMMUNITY HEALTHCARE CENTER,Federally Qualified Health Center (FQHC),Needles,CA,92363-3104,"Corporate Entity, Federal Tax Exempt",23,23,5
H80CS10608,"CENTRAL CITY COMMUNITY HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),Monterey Park,CA,91755-7415,"Corporate Entity, Federal Tax Exempt",29,29,4
H80CS00650,"BLUE RIDGE COMMUNITY HEALTH SERVICES, INC.",Federally Qualified Health Center (FQHC),Hendersonville,NC,28792-9181,"Corporate Entity, Federal Tax Exempt",84,84,10
H80CS00640,LAMPREY HEALTH CARE INC,Federally Qualified Health Center (FQHC),Newmarket,NH,03857-1835,"Corporate Entity, Federal Tax Exempt",9,9,2
H80CS00693,"NORTH FLORIDA MEDICAL CENTERS, INC.",Federally Qualified Health Center (FQHC),Tallahassee,FL,32308-8707,"Corporate Entity, Federal Tax Exempt",25,25,10
H80CS30714,"AUDUBON AREA COMMUNITY CARE CLINIC, INC",Federally Qualified Health Center (FQHC),Owensboro,KY,42301-1952,"Corporate Entity, Federal Tax Exempt",12,12,1
H80CS00314,"GREATER LAWRENCE FAMILY HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),Methuen,MA,01844-1865,"Corporate Entity, Federal Tax Exempt",26,26,2
H80CS26618,HERALD CHRISTIAN HEALTH CENTER,Federally Qualified Health Center (FQHC),El Monte,CA,91731-2801,"Corporate Entity, Federal Tax Exempt",8,8,2
H80CS00622,HUNTER HEALTH CLINIC INC,Federally Qualified Health Center (FQHC),Wichita,KS,67214-4482,"Corporate Entity, Federal Tax Exempt",6,6,1
H80CS26190,TYLER FAMILY CIRCLE OF CARE,Federally Qualified Health Center (FQHC),Tyler,TX,75702-8204,"Corporate Entity, Federal Tax Exempt",16,16,3
H80CS00318,MOBILE COUNTY BOARD OF HEALTH,Federally Qualified Health Center (FQHC),Mobile,AL,36603-1699,U.S. Government Entity,11,11,2
H80CS28445,COMMUNITY HEALTH INITIATIVES INC.,Federally Qualified Health Center (FQHC),Brooklyn,NY,11224-2615,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00402,THUNDER BAY COMMUNITY HEALTH SERVICE INC,Federally Qualified Health Center (FQHC),Hillman,MI,49746-7961,"Corporate Entity, Federal Tax Exempt",27,27,7
H80CS00825,HEART OF KANSAS FAMILY HEALTH CARE INC,Federally Qualified Health Center (FQHC),Great Bend,KS,67530-2502,"Corporate Entity, Federal Tax Exempt",6,6,3
H80CS25682,CHRISTIAN COMMUNITY HEALTH SERVICES,Federally Qualified Health Center (FQHC),Cincinnati,OH,45202-8202,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS08766,WEST CECIL HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Conowingo,MD,21918-1352,"Corporate Entity, Federal Tax Exempt",4,4,2
H80CS00011,MONTEFIORE MEDICAL CENTER,Federally Qualified Health Center (FQHC),Bronx,NY,10467-2401,"Corporate Entity, Federal Tax Exempt",10,10,2
H80CS00128,CENTRO DE SALUD FAMILIAR LA FE INC,Federally Qualified Health Center (FQHC),El Paso,TX,79902-5529,"Corporate Entity, Federal Tax Exempt",11,11,1
H80CS29001,WHEELER CLINIC INC,Federally Qualified Health Center (FQHC),Plainville,CT,06062-1552,"Corporate Entity, Federal Tax Exempt",26,26,2
H80CS00142,ALTAMED HEALTH SERVICES CORPORATION,Federally Qualified Health Center (FQHC),Commerce,CA,90040-1502,"Corporate Entity, Federal Tax Exempt",139,139,2
H80CS00497,DOWNRIVER COMMUNITY SERVICES INC,Federally Qualified Health Center (FQHC),Algonac,MI,48001-1802,"Corporate Entity, Federal Tax Exempt",4,4,2
H80CS28361,"SUMMIT COMMUNITY CARE CLINIC, INC.",Federally Qualified Health Center (FQHC),Frisco,CO,80443-5948,"Corporate Entity, Federal Tax Exempt",22,22,3
H80CS00268,FLOATING HOSPITAL INCORPORATED THE,Federally Qualified Health Center (FQHC),Long Island City,NY,11101-4801,"Corporate Entity, Federal Tax Exempt",7,7,4
H80CS00480,"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC",Federally Qualified Health Center (FQHC),Clarksdale,MS,38614-4717,"Corporate Entity, Federal Tax Exempt",12,12,5
H80CS00659,HAMILTON HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Harrisburg,PA,17104-1123,"Corporate Entity, Federal Tax Exempt",6,6,2
H80CS00447,YUKON-KUSKOKWIM HEALTH CORP,Federally Qualified Health Center (FQHC),Bethel,AK,99559,"Corporate Entity, Federal Tax Exempt",35,35,4
H80CS00205,PRESBYTERIAN MEDICAL SERVICES,Federally Qualified Health Center (FQHC),Santa Fe,NM,87501-4327,"Corporate Entity, Federal Tax Exempt",76,76,16
H80CS00639,YAKIMA VALLEY FARM WORKERS CLINIC,Federally Qualified Health Center (FQHC),Toppenish,WA,98948-1500,"Corporate Entity, Federal Tax Exempt",41,41,10
H80CS00326,"COMMUNITY HEALTH CENTER, INCORPORATED",Federally Qualified Health Center (FQHC),Middletown,CT,06457-2718,"Corporate Entity, Federal Tax Exempt",181,181,10
H80CS00785,CAROLINA HEALTH CENTERS INC,Federally Qualified Health Center (FQHC),Greenwood,SC,29646-2757,"Corporate Entity, Federal Tax Exempt",21,21,6
H80CS00487,"Family Health Care Clinic, Inc.",Federally Qualified Health Center (FQHC),Pearl,MS,39208-4226,"Corporate Entity, Federal Tax Exempt",44,44,19
H80CS06670,GREAT MINES HEALTH CENTER,Federally Qualified Health Center (FQHC),Potosi,MO,63664-5729,"Corporate Entity, Federal Tax Exempt",37,37,2
H80CS04214,CITRUS HEALTH NETWORK INC,Federally Qualified Health Center (FQHC),Hialeah,FL,33012-5875,"Corporate Entity, Federal Tax Exempt",52,52,2
H80CS00193,HOPEWELL HEALTH CENTERS INC.,Federally Qualified Health Center (FQHC),Chillicothe,OH,45601-1104,"Corporate Entity, Federal Tax Exempt",46,46,10
H80CS00820,UTAH NAVAJO HEALTH SYSTEM INC,Federally Qualified Health Center (FQHC),Montezuma Creek,UT,84534,"Corporate Entity, Federal Tax Exempt",10,10,1
H80CS00097,MCR HEALTH INC,Federally Qualified Health Center (FQHC),Bradenton,FL,34205-8812,"Corporate Entity, Federal Tax Exempt",42,42,4
H80CS00034,"OUTREACH COMMUNITY HEALTH CENTERS, INCORPORATED",Federally Qualified Health Center (FQHC),Milwaukee,WI,53212-1185,"Corporate Entity, Federal Tax Exempt",10,10,2
H80CS00615,OMNI FAMILY HEALTH,Federally Qualified Health Center (FQHC),Bakersfield,CA,93309-7081,"Corporate Entity, Federal Tax Exempt",47,47,4
LALCS45788,"Mountain Area Health Education Center, INC.",Federally Qualified Health Center (FQHC) Look-Alike,ASHEVILLE,NC,28803,NA,61,61,7
H80CS00078,"CAMDEN-ON-GAULEY MEDICAL CENTER, INC.",Federally Qualified Health Center (FQHC),Camden On Gauley,WV,26208-7713,"Corporate Entity, Federal Tax Exempt",28,28,4
H80CS00481,COMMUNITY HEALTH CARE,Federally Qualified Health Center (FQHC),Tacoma,WA,98402-3513,"Corporate Entity, Federal Tax Exempt",15,15,1
H80CS00030,COUNTY OF INGHAM,Federally Qualified Health Center (FQHC),Lansing,MI,48911-3800,U.S. Government Entity,11,11,1
H80CS00794,RURAL HEALTH MEDICAL PROGRAM INC,Federally Qualified Health Center (FQHC),Selma,AL,36701-6764,"Corporate Entity, Federal Tax Exempt",11,11,6
H80CS07890,"Southwest Utah Community Health Center, Inc.",Federally Qualified Health Center (FQHC),Saint George,UT,84790-2636,"Corporate Entity, Federal Tax Exempt",7,7,2
LALCS53449,AIDS ARMS INC,Federally Qualified Health Center (FQHC) Look-Alike,DALLAS,TX,75246,NA,8,8,1
H80CS00259,SANTA ROSA COMMUNITY HEALTH CENTERS,Federally Qualified Health Center (FQHC),Santa Rosa,CA,95403-5781,"Corporate Entity, Federal Tax Exempt",15,15,1
H80CS12856,MT. ENTERPRISE COMMUNITY HEALTH CLINIC,Federally Qualified Health Center (FQHC),Mount Enterprise,TX,75681-7581,"Corporate Entity, Federal Tax Exempt",5,5,2
H80CS00134,VALLEY-WIDE HEALTH SYSTEMS,Federally Qualified Health Center (FQHC),Alamosa,CO,81101-2290,"Corporate Entity, Federal Tax Exempt",41,41,13
H80CS00404,"LA CASA DE BUENA SALUD, INC.",Federally Qualified Health Center (FQHC),Portales,NM,88130-5703,"Corporate Entity, Federal Tax Exempt",26,26,3
H80CS00690,CLINICA CAMPESINA/FAMILY HEALTH SERVICES,Federally Qualified Health Center (FQHC),Lafayette,CO,80026-7093,"Corporate Entity, Federal Tax Exempt",25,25,4
H80CS00427,"MEDLINK GEORGIA, INC.",Federally Qualified Health Center (FQHC),Colbert,GA,30628-2445,"Corporate Entity, Federal Tax Exempt",44,44,18
H80CS00586,"GRACE HEALTH, INC",Federally Qualified Health Center (FQHC),Battle Creek,MI,49037-2963,"Corporate Entity, Federal Tax Exempt",19,19,1
H80CS00242,"WEST COUNTY HEALTH CENTERS, INC",Federally Qualified Health Center (FQHC),Guerneville,CA,95446-8117,"Corporate Entity, Federal Tax Exempt",13,13,1
H80CS00757,CENTRAL OKLAHOMA FAMILY MEDICAL CENTER INC,Federally Qualified Health Center (FQHC),Konawa,OK,74849-1415,"Corporate Entity, Federal Tax Exempt",21,21,3
H80CS00536,WHITTIER STREET HEALTH CENTER,Federally Qualified Health Center (FQHC),Roxbury Crossing,MA,02120-3432,"Corporate Entity, Federal Tax Exempt",6,6,1
H80CS00084,CENTRAL MISSISSIPPI CIVIC IMPROVEMENT ASSOCIATION INC,Federally Qualified Health Center (FQHC),Jackson,MS,39213-4454,"Corporate Entity, Federal Tax Exempt",37,37,5
H80CS08786,"Western North Carolina Community Health Services, Inc",Federally Qualified Health Center (FQHC),Asheville,NC,28801-4120,"Corporate Entity, Federal Tax Exempt",12,12,2
H80CS00237,"COMMUNITY HEALTH PROGRAMS, INCORPORATED",Federally Qualified Health Center (FQHC),Great Barrington,MA,01230-1295,"Corporate Entity, Federal Tax Exempt",9,9,1
H80CS04203,"JUNIPER HEALTH, INC.",Federally Qualified Health Center (FQHC),Beattyville,KY,41311-9022,"Corporate Entity, Federal Tax Exempt",24,24,7
H80CS22690,"Macoupin, County of",Federally Qualified Health Center (FQHC),Carlinville,IL,62626-1921,U.S. Government Entity,15,15,2
H80CS04217,VENICE FAMILY CLINIC,Federally Qualified Health Center (FQHC),Venice,CA,90291-2767,"Corporate Entity, Federal Tax Exempt",26,26,1
H80CS00275,ADVOCATES FOR A HEALTHY COMMUNITY INC,Federally Qualified Health Center (FQHC),Springfield,MO,65806-1102,"Corporate Entity, Federal Tax Exempt",38,38,5
LALCS54746,UPTOWN COMMUNITY HEALTH CENTER INC,Federally Qualified Health Center (FQHC) Look-Alike,DENVER,CO,80218,NA,5,5,1
H80CS09088,"FETTER HEALTH CARE NETWORK, INC.",Federally Qualified Health Center (FQHC),Charleston,SC,29403-5500,"Corporate Entity, Federal Tax Exempt",31,31,4
H80CS26610,HI-DESERT MEMORIAL HEALTH CARE DISTRICT,Federally Qualified Health Center (FQHC),Yucca Valley,CA,92284-7313,U.S. Government Entity,10,10,1
H80CS25683,CITY OF CINCINNATI,Federally Qualified Health Center (FQHC),Cincinnati,OH,45229-3014,U.S. Government Entity,22,22,1
H80CS00715,"PRIMARY HEALTH CARE, INC",Federally Qualified Health Center (FQHC),Des Moines,IA,50314-2355,"Corporate Entity, Federal Tax Exempt",18,18,3
H80CS02588,LIVINGSTON COMMUNITY HEALTH,Federally Qualified Health Center (FQHC),Livingston,CA,95334-9593,"Corporate Entity, Federal Tax Exempt",11,11,2
H80CS00506,MCKINNEY MEDICAL CENTER INC,Federally Qualified Health Center (FQHC),Waycross,GA,31501-4651,"Corporate Entity, Federal Tax Exempt",7,7,5
H80CS00803,"HOLYOKE HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),Holyoke,MA,01040-5144,"Corporate Entity, Federal Tax Exempt",6,6,1
H80CS00104,"KINSTON COMMUNITY HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),Kinston,NC,28501-4932,"Corporate Entity, Federal Tax Exempt",18,18,1
H80CS00122,LEE COUNTY COOPERATIVE CLINIC,Federally Qualified Health Center (FQHC),Marianna,AR,72360-2113,"Corporate Entity, Federal Tax Exempt",5,5,3
H80CS12846,PURDUE UNIVERSITY,Federally Qualified Health Center (FQHC),West Lafayette,IN,47906-1332,Other,13,13,2
H80CS00557,SOUTHEAST MISSOURI HEALTH NETWORK,Federally Qualified Health Center (FQHC),Benton,MO,63736,"Corporate Entity, Federal Tax Exempt",14,14,6
H80CS00125,"COMMUNITY HEALTH CENTERS OF SOUTH CENTRAL TEXAS, INC.",Federally Qualified Health Center (FQHC),Gonzales,TX,78629-3910,"Corporate Entity, Federal Tax Exempt",11,11,5
H80CS00880,SHALOM HEALTH CARE CENTER INC,Federally Qualified Health Center (FQHC),Indianapolis,IN,46222-1147,"Corporate Entity, Federal Tax Exempt",34,34,1
H80CS00525,"VALLEY HEALTH TEAM, INC.",Federally Qualified Health Center (FQHC),San Joaquin,CA,93660-9773,"Corporate Entity, Federal Tax Exempt",19,19,3
H80CS00276,PCC COMMUNITY WELLNESS CENTER,Federally Qualified Health Center (FQHC),Oak Park,IL,60302-2606,"Corporate Entity, Federal Tax Exempt",16,16,1
H80CS00804,SUNRISE COMMUNITY HEALTH,Federally Qualified Health Center (FQHC),Evans,CO,80620-1011,"Corporate Entity, Federal Tax Exempt",14,14,2
H80CS00533,CENTRAL COUNTIES HEALTH CENTERS,Federally Qualified Health Center (FQHC),Springfield,IL,62703-1944,"Corporate Entity, Federal Tax Exempt",5,5,2
H80CS00763,"Albany Area Primary Health Care, Inc.",Federally Qualified Health Center (FQHC),Albany,GA,31707-2277,"Corporate Entity, Federal Tax Exempt",36,36,10
H80CS00873,ST. JOHN'S COMMUNITY HEALTH,Federally Qualified Health Center (FQHC),Los Angeles,CA,90037-3632,"Corporate Entity, Federal Tax Exempt",29,29,3
H80CS00701,TUG RIVER HEALTH ASSOCIATION INC,Federally Qualified Health Center (FQHC),Welch,WV,24801,"Corporate Entity, Federal Tax Exempt",8,8,3
H80CS00380,"Southern Jersey Family Medical Centers, Inc.",Federally Qualified Health Center (FQHC),Marlton,NJ,08053,"Corporate Entity, Federal Tax Exempt",11,11,3
